ID,PROJECT_NAME,POINT_TYPE,POINT_ORDER,LATITUDE,LONGITUDE,PROJECT_SECTOR,DEVELOPERS,DISTRICT,APPROVED_MONTH,,,,,,
27,"Exploration of Aluminium, Copper, Graphite, Lead, Nickel, Niobium, Platinum, Rare Earth Elements, Rutile, Silver, Titanium and Zinc in TA Chiseka and Kalolo in Lilongwe District",Boundary,4,-14.1284891,33.5373338,Mining,Alphastone Mining Cooperation Limited,Lilongwe,March,,,,,,
27,"Exploration of Aluminium, Copper, Graphite, Lead, Nickel, Niobium, Platinum, Rare Earth Elements, Rutile, Silver, Titanium and Zinc in TA Chiseka and Kalolo in Lilongwe District",Boundary,5,-14.1375034,33.5913154,Mining,Alphastone Mining Cooperation Limited,Lilongwe,March,,,,,,
28,Exploration of Uranium at TA Chapanaga in Chikwawa District,Boundary,1,-14.9460169,35.3999157,Mining,"Avro International Limited, Minarch Trading",Chikwawa,March,,,,,,
28,Exploration of Uranium at TA Chapanaga in Chikwawa District,Boundary,2,-14.9549682,35.5305524,Mining,"Avro International Limited, Minarch Trading",Chikwawa,March,,,,,,
28,Exploration of Uranium at TA Chapanaga in Chikwawa District,Boundary,3,-14.9960963,35.4714996,Mining,"Avro International Limited, Minarch Trading",Chikwawa,March,,,,,,
28,Exploration of Uranium at TA Chapanaga in Chikwawa District,Boundary,4,-14.9781844,35.4062681,Mining,"Avro International Limited, Minarch Trading",Chikwawa,March,,,,,,
29,Exploration  of Uranium and Coal in Karonga and Chitipa Districts TA Mwakaboko & Misuku,Boundary,1,-9.6277526,33.6438986,Mining,"Avro International Limited, Minarch Trading",Karonga & Chitipa,March,,,,,,
29,Exploration  of Uranium and Coal in Karonga and Chitipa Districts TA Mwakaboko & Misuku,Boundary,2,-9.6396228,33.6608185,Mining,"Avro International Limited, Minarch Trading",Karonga & Chitipa,,,,,,,
29,Exploration  of Uranium and Coal in Karonga and Chitipa Districts TA Mwakaboko & Misuku,Boundary,3,-9.6504566,33.6566835,Mining,"Avro International Limited, Minarch Trading",Karonga & Chitipa,,,,,,,
29,Exploration  of Uranium and Coal in Karonga and Chitipa Districts TA Mwakaboko & Misuku,Boundary,4,-9.6503613,33.6497473,Mining,"Avro International Limited, Minarch Trading",Karonga & Chitipa,,,,,,,
30,Construction and Operation of Akuloa Fuel Service Station at Kalinde Village in Salima,Singe_point,,,,Energy,Akuloa Service Station,Salima,June,,,,,,
31,Exploration of Rare Earth Elements at TA Malemia and Kumutumanji in Zomba District,Boundary,1,-15.2386066,35.384045,Mining,"Baze International Limited, Minarch Trading",Zomba,March,,,,,,
31,Exploration of Rare Earth Elements at TA Malemia and Kumutumanji in Zomba District,Boundary,2,-15.2687549,35.4533907,Mining,"Baze International Limited, Minarch Trading",Zomba,March,,,,,,
31,Exploration of Rare Earth Elements at TA Malemia and Kumutumanji in Zomba District,Boundary,3,-15.2750413,35.4559671,Mining,"Baze International Limited, Minarch Trading",Zomba,March,,,, ,,8
31,Exploration of Rare Earth Elements at TA Malemia and Kumutumanji in Zomba District,Boundary,4,-15.2828317,35.3922783,Mining,"Baze International Limited, Minarch Trading",Zomba,March,,,,,,
32,Exploration of Uranium and Rare Earth Elements at TA Kameme in Chitipa District,Boundary,1,-9.6277526,33.6438986,Mining,"Avro International Limited, Minarch Trading",Chitipa,March,,,,,,
32,Exploration of Uranium and Rare Earth Elements at TA Kameme in Chitipa District,,2,-9.6231767,33.6532678,Mining,"Avro International Limited, Minarch Trading",Chitipa,March,,,,,,
32,Exploration of Uranium and Rare Earth Elements at TA Kameme in Chitipa District,,3,-9.6504566,33.6566835,Mining,"Avro International Limited, Minarch Trading",Chitipa,March,,,,,,
32,Exploration of Uranium and Rare Earth Elements at TA Kameme in Chitipa District,,4,-9.6503613,33.6497473,Mining,"Avro International Limited, Minarch Trading",Chitipa,March,,,,,,
